"case","city.or.county","state","date","summary","fatalities","injured","total_victims","type","location","latitude","longitude","age_of_shooter","prior_signs_mental_health_issues","mental_health_details","weapons_obtained_legally","where_obtained","weapon_type","weapon_details","race","gender","sources","mental_health_sources","sources_additional_age","num_offenders","incident_type","situation_type","year"
"Pennsylvania hotel bar shooting","State College","Pennsylvania","01/24/2019","Jordan Witmer, 21, shot three people at a Ramada Hotel bar near Penn State University, including a former girlfriend he was there with. He then fled the bar, crashed his car about a mile away, and stormed into a random house, fatally shooting an elderly resident and then himself. Witmer, who had a legal carry permit for his handgun, had just finished a three-year stint in the US Army; ten days prior to the attack he had been convicted on drunk driving-related charges in Kentucky, where he'd been stationed. ",3,1,4,"Spree","Other",40.785142,-77.839411,"21","-","-","Yes","-","handgun","-","White","M","http://www.wistv.com/2019/01/26/details-emerge-about-shooting-rampage-near-penn-state/; https://www.pennlive.com/news/2019/01/state-college-shooter-pleaded-guilty-to-dui-crash-charges-days-before-killings.html; https://www.pennlive.com/news/2019/01/man-who-killed-3-in-state-college-wanted-to-be-a-cop-relatives-say.html","-","-",NA,NA,NA,"2019"
"SunTrust bank shooting","Sebring","Florida","01/23/2019","Zephen A. Xaver, 21, fatally shot five women inside a bank and then called the police to confess. He was armed with a handgun and wore a bulletproof vest. He reportedly ordered the women to lie down on the floor and shot them execution-style. After a standoff with police, he surrendered and was taken into custody. A week prior, Xaver had quit a job as a prison guard trainee, and authorities said they believed the shooting was ""a random act"" and that roberry did not appear to be a motive. An ex-girlfriend in Indiana told local media she'd been “scared for years” by Xaver’s talk of violence and death, but that her warnings to others (who she did not identify) were not taken seriously. She said she’d first met Xaver in a psychiatric hospital in 2013. In March 2017, Michigan State Police documented an incident in which Xaver indicated he was “possibly thinking of suicide by cop and taking hostages.""",5,0,5,"Mass","Workplace",27.471043,-81.45847,"21","Yes","Xaver was reported to have a lenghty history of expressing violent desires; an ex-girlfriend said she first met him at a psychiatric hospital in 2013.","Yes","-","handgun","9 mm handgun","White","M","https://wsbt.com/news/local/classmate-says-florida-bank-shooter-who-allegedly-killed-5-attended-bremen-high-school; https://www.washingtonpost.com/nation/2019/01/23/several-people-shot-after-gunman-barricades-himself-florida-bank-authorities-say/; https://www.wptv.com/news/state/accused-bank-shooter-zephen-xaver-fascinated-with-violence-ex-girlfriend-says; https://www.npr.org/2019/01/24/688183605/man-charged-with-murder-after-allegedly-killing-5-women-at-suntrust-bank-in-flor; https://www.wesh.com/article/sebring-bank-shooting-latest/26012533; https://www.apnews.com/c3523d282b2942739240731daaf797c2","https://wsbt.com/news/local/classmate-says-florida-bank-shooter-who-allegedly-killed-5-attended-bremen-high-school; https://www.washingtonpost.com/nation/2019/01/23/several-people-shot-after-gunman-barricades-himself-florida-bank-authorities-say/","-",NA,NA,NA,"2019"
"Thousand Oaks nightclub shooting","Thousand Oaks","California","11/07/2018","Ian David Long, 28, dressed in black and armed with a handgun and a “smoke device,” approached the Borderline Bar & Grill — a country music venue popular with college students — close to midnight and opened fire, killing a security guard and then others in the club, including a sheriff’s deputy responding to the attack. Long was found dead at the scene from apparent suicide. He was a former Marine and had a history of interactions with local law enforcement, including a mental health evaluation in which he’d been cleared.",12,22,34,"Mass","Other",34.176946,-118.874793,"28","Yes","Per the LATimes: ""Sheriff Geoff Dean said his department had had several interactions with Long, including a call to his home in April for a complaint of disturbing the peace. Deputies at the time said Long was irate and acting irrationally, Dean said. They called in mental health professionals to evaluate him, and they concluded he did not need to be taken into custody.""","Yes","A gun store in Simi Valley","semiautomatic handgun","Glock 21, .45 caliber; high-capacity magazine","-","M","http://www.latimes.com/local/lanow/la-me-ln-thousand-oaks-20181107-story.html; https://www.washingtonpost.com/nation/2018/11/08/multiple-injuries-reported-bar-shooting-thousand-oaks-calif/; https://www.nytimes.com/2018/11/08/us/shooting-california-thousand-oaks.html; https://www.nytimes.com/2018/11/08/us/ian-david-long-california-shooter.html; https://www.wsj.com/articles/multiple-injuries-reported-in-bar-shooting-in-thousand-oaks-california-1541666907","http://www.latimes.com/local/lanow/la-me-ln-thousand-oaks-20181107-story.html","-",NA,NA,NA,"2018"
"Tree of Life synagogue shooting","Pittsburgh","Pennsylvania","10/27/2018","Robert D. Bowers, 46, shouted anti-Semitic slurs as he opened fire inside the Tree of Life synagogue during Saturday morning worship. He was armed with an assault rifle and multiple handguns and was apprehended after a standoff with police. His social media accounts contained virulent anti-Semitic content, and references to migrant caravan ""invaders"" hyped by President Trump and the Republican party ahead of the 2018 midterms elections.",11,6,17,"Mass","Religious",40.443898,-79.921398,"46","-","-","Yes","(Unclear; investigators confirmed he owned 10 guns in total, all purchased and possessed legally, and had a handgun license)","semiautomatic rifle; semiautomatic handguns","AR-15; Glock .357 (3)","White","M","https://www.nytimes.com/2018/10/27/us/active-shooter-pittsburgh-synagogue-shooting.html; https://www.cnn.com/us/live-news/pittsburgh-synagogue-shooting/h_0c180f52c8d032fd47eef570cc5065c2; https://www.nytimes.com/2018/10/30/us/ar15-gun-pittsburgh-shooting.html","-","-",NA,NA,NA,"2018"
"Rite Aid warehouse shooting","Perryman","Maryland","09/20/2018","Snochia Moseley, 26, reportedly a disgruntled employee, shot her victims outside the building and on the warehouse floor; she later died from a self-inflicted gunshot at a nearby hospital. (No law enforcement officers responding to her attack fired shots.)",3,3,6,"Mass","Workplace",39.455658,-76.208485,"26","-","-","Yes","-","semiautomatic handgun","Glock 9 mm","Black","F","http://www.baltimoresun.com/news/maryland/crime/bs-md-harford-shooting-20180920-story.html; https://www.washingtonpost.com/local/public-safety/maryland-sheriffs-office-says-multiple-victims-in-shooting/2018/09/20/9d2c6464-bcda-11e8-be70-52bd11fe18af_story.html; https://www.cnn.com/2018/09/20/us/maryland-shooting/index.html; https://heavy.com/news/2018/09/snochia-moseley/","-","-",NA,NA,NA,"2018"
"T&T Trucking shooting","Bakersfield","California","09/12/2018","Javier Casarez, 54, who was going through a bitter divorce, went on a shooting spree targeting his ex-wife and former coworkers at the trucking company. His attack included fatally shooting one victim who he pursued to a nearby sporting goods retailer, and two others at a private residence. After then carjacking a woman who was driving with a child (and letting the two go), Casarez fatally shot himself as law enforcement officials closed in on him.",5,0,5,"Spree","Workplace",35.349388,-118.916335,"54","-","-","Yes","-","handgun","Smith & Wesson Model 500 (.50-caliber revolver)","Latino","M","http://www.latimes.com/local/lanow/la-me-bakersfield-mass-shooting-20180914-story.html; https://www.cnn.com/2018/09/13/us/california-shootings-multiple-dead/index.html; https://www.bakersfield.com/ex-wife-in-mass-shooting-had-just-filed-for-child/article_8d7510c2-bc38-11e8-bc73-c3793e2ec681.html","-","-",NA,NA,NA,"2018"
"Fifth Third Center shooting","Cincinnati","Ohio","09/06/2018","Omar Enrique Santa Perez, 29, walked into the ground-floor lobby of a building in downtown Cincinnati shortly after 9 a.m. and opened fire. Within minutes, Perez was fatally wounded in a shootout with law enforcement officers responding to the scene.",3,2,5,"Mass","Workplace",39.101981,-84.511782,"29","Yes","Perez filed a ""delusional"" lawsuit in 2017 against CNBC and TD Ameritrade; the federal judge who threw out the case said Perez's allegations were ""rambling, difficult to decpipher and borders on delusional.""","Yes","A local gun store","semiautomatic handgun","9mm handgun","Latino","M","https://www.cnn.com/2018/09/07/us/cincinnati-shooting/index.html; https://www.cincinnati.com/story/news/crime/crime-and-courts/2018/09/06/omar-santa-perez-cincinnati-shooter-filed-lawsuit-against-cnbc/1217643002/; https://www.cincinnati.com/story/news/2018/09/07/cincinnati-shooting-what-we-know-suspect/1221725002/; https://www.cincinnati.com/story/news/2018/09/06/cincinnati-shooting-suspect-arrested-south-carolina-2014/1218729002/; https://www.cincinnati.com/story/news/crime/2018/09/07/why-cincinnati-shooter-allowed-have-gun/1221091002/","-","-",NA,NA,NA,"2018"
"Capital Gazette shooting","Annapolis","Maryland","06/28/2018","Jarrod W. Ramos, 38, shot through the glass doors of the paper’s newsroom around 3pm to carry out his attack; police quickly responding to the scene found him hiding under a desk and apprehended him. Ramos had harbored a longstanding grudge against the paper over a 2011 column that had detailed his guilty plea for the harassment of a former female classmate. Ramos had sued the paper for defamation and lost.",5,2,7,"Mass","Workplace",38.994548,-76.543657,"38","-","-","Yes","-","shotgun","12-gauge pump-action shotgun","White","M","http://www.capitalgazette.com/news/annapolis/bs-md-gazette-shooting-20180628-story.html; http://www.capitalgazette.com/news/for_the_record/bs-md-ramos-charges-20180629-story.html; https://www.nytimes.com/2018/06/28/us/capital-gazette-annapolis-shooting.html; https://www.washingtonpost.com/local/public-safety/heavy-police-activity-reported-around-capital-gazette-newsroom-in-annapolis/2018/06/28/32e0123e-7b05-11e8-93cc-6d3beccdd7a3_story.html?utm_term=.e8fb121510f7; https://www.washingtonpost.com/local/public-safety/five-dead-in-shooting-at-capital-gazette-paper-suspect-in-custody/2018/06/29/374b0292-7b7e-11e8-aeee-4d04c8ac6158_story.html","-","-",NA,NA,NA,"2018"
"Santa Fe High School shooting","Santa Fe","Texas","05/18/2018","Dimitrios Pagourtzis, a 17-year-old student, opened fire at Santa Fe High School with a shotgun and .38 revolver owned by his father; Pagourtzis killed 10 and injured at least 13 others before surrendering to authorities after a standoff and additional gunfire inside the school. (Pagourtzis reportedly had intended to commit suicide.) Investigators also found undetonated explosive devices in the vicinity. (FURTHER DETAILS PENDING.)",10,13,23,"Mass","School",29.392825,-95.141972,"17","-","-","TBD","Father's weapons","shotgun; .38 revolver","-","White","M","https://www.chron.com/news/houston-texas/article/Shots-fired-at-Santa-Fe-High-School-12925050.php; https://www.nytimes.com/2018/05/18/us/school-shooting-santa-fe-texas.html; https://www.aol.com/article/news/2018/05/21/suspected-texas-gunman-studied-previous-mass-shootings-report/23439884/","-","https://www.chron.com/news/houston-texas/article/Shots-fired-at-Santa-Fe-High-School-12925050.php; https://www.nytimes.com/2018/05/18/us/school-shooting-santa-fe-texas.html; https://www.aol.com/article/news/2018/05/21/suspected-texas-gunman-studied-previous-mass-shootings-report/23439884/",NA,NA,NA,"2018"
"Waffle House shooting","Nashville","Tennessee","04/22/2018","Travis Reinking, 29, opened fire around 3:30 a.m. in the parking lot of a Waffle House in Antioch, and continued shooting as he entered the restaurant. As he attempted to reload his AR-15, a bystander heroically wrestled the rifle away from Reinking, who then fled; he was captured by authorities the following day. Reinking had a history of erratic behavior and run-ins with law enforcement in his home state of Illinois, including claims that he was being stalked and harassed by pop star Taylor Swift. In July 2017, he was arrested at the White House after breaching security in an effort to speak with President Trump, reportedly claiming his right to do so as “a sovereign citizen.” ",4,4,8,"Mass","Other",36.052521,-86.616944,"29","Yes","Reinking had a history of erratic behavior and run-ins with law enforcement in his home state of Illinois, including claims that he was being stalked and harassed by pop star Taylor Swift. In July 2017, he was arrested at the White House after breaching security in an effort to speak with President Trump, reportedly claiming his right to do so as “a sovereign citizen.”","Yes","Family member","semiautomatic rifle","AR-15","White","M","https://www.washingtonpost.com/news/post-nation/wp/2018/04/23/waffle-house-shooting-travis-reinking-manhunt-continues-nashville-police-say/?utm_term=.69579db5fdc6; https://www.tennessean.com/story/news/2018/04/23/waffle-house-shooting-travis-reinking-search-continues-antioch-nashville/541313002/; https://www.nytimes.com/2018/04/23/us/waffle-house-shooting-nashville.html; https://www.buzzfeed.com/briannasacks/this-is-what-we-know-about-the-suspected-waffle-house-gunman?utm_term=.ilj2Knad6#.lklzyb3vj; http://www.wkrn.com/news/manhunt-continues-for-gunman-who-killed-4-at-antioch-waffle-house/1134986998","https://www.buzzfeed.com/briannasacks/this-is-what-we-know-about-the-suspected-waffle-house-gunman?utm_term=.ilj2Knad6#.lklzyb3vj","https://www.washingtonpost.com/news/post-nation/wp/2018/04/23/waffle-house-shooting-travis-reinking-manhunt-continues-nashville-police-say/?utm_term=.69579db5fdc6; https://www.tennessean.com/story/news/2018/04/23/waffle-house-shooting-travis-reinking-search-continues-antioch-nashville/541313002/; https://www.nytimes.com/2018/04/23/us/waffle-house-shooting-nashville.html; https://www.buzzfeed.com/briannasacks/this-is-what-we-know-about-the-suspected-waffle-house-gunman?utm_term=.ilj2Knad6#.lklzyb3vj; http://www.wkrn.com/news/manhunt-continues-for-gunman-who-killed-4-at-antioch-waffle-house/1134986998",NA,NA,NA,"2018"
"Marjory Stoneman Douglas High School shooting","Parkland","Florida","02/14/2018","Nikolas J. Cruz, 19, heavily armed with an AR-15, tactical gear, and “countless magazines” of ammo, according to the Broward County Sheriff, attacked the high school as classes were ending for the day, killing at least 17 people and injuring many others. He was apprehended by authorities shortly after fleeing the campus.",17,17,34,"Mass","School",26.30483,-80.269511,"19","Yes","Cruz had a long history of behavioral problems and had spent time in mental health clinics.","Yes","A Florida pawn shop","semiautomatic rifle","AR-15","White","M","https://www.nytimes.com/2018/02/14/us/parkland-school-shooting.html; https://www.nytimes.com/2018/02/15/us/nikolas-cruz-florida-shooting.html; https://www.washingtonpost.com/news/local/wp/2019/01/25/feature/brother-parkland-shooter-nikolas-cruz/?utm_term=.1cc1aa9bb21a","https://www.nytimes.com/2018/02/15/us/nikolas-cruz-florida-shooting.html","https://www.nytimes.com/2018/02/14/us/parkland-school-shooting.html; https://www.nytimes.com/2018/02/15/us/nikolas-cruz-florida-shooting.html",NA,NA,NA,"2018"
"Pennsylvania carwash shooting","Melcroft","Pennsylvania","01/28/2018","Timothy O'Brien Smith, 28, wearing body armor and well-stocked with ammo, opened fire at a carwash early in the morning in this rural community, killing four people. A fifth victim, though not shot, suffered minor injuries. One of the deceased victims, 25-year-old Chelsie Cline, had been romantically involved with Smith and had broken off the relationship recently, according to her sister. Smith shot himself in the head and died later that night at the hospital.",4,1,5,"Mass","Other",40.052151,-79.389166,"28","TBD","-","TBD","TBD","semiautomatic rifle and semiautomatic handgun","-","White","M","http://www.wpxi.com/news/top-stories/family-members-small-community-in-shock-after-4-killed-in-shooting/690497960; http://www.wpxi.com/news/top-stories/suspect-in-mass-shooting-at-car-wash-pronounced-dead/691578228","-","http://www.wpxi.com/news/top-stories/family-members-small-community-in-shock-after-4-killed-in-shooting/690497960; http://www.wpxi.com/news/top-stories/suspect-in-mass-shooting-at-car-wash-pronounced-dead/691578228",NA,NA,NA,"2018"
"Rancho Tehama shooting spree","Rancho Tehama","California","11/14/2017","Kevin Janson Neal, 44, went on an approximately 45-minute shooting spree in the rural community of Rancho Tehama Reserve in Northern California, including shooting up an elementary school, before being killed by law enforcement officers. Neal had also killed his wife at home.",5,10,15,"Spree","Other",40.018759,-122.393089,"44","TBD","-","No","TBD","semiautomatic rifles","Two illegally modified rifles","White","M","https://www.nbcnews.com/news/us-news/california-mass-shooter-killed-wife-buried-her-beneath-floor-n821051; https://www.npr.org/sections/thetwo-way/2017/11/15/564335359/in-harm-s-way-school-staff-saved-students-during-tehama-county-shooting; https://twitter.com/anblanx/status/930862796123729920","-","https://www.nbcnews.com/news/us-news/california-mass-shooter-killed-wife-buried-her-beneath-floor-n821051; https://www.npr.org/sections/thetwo-way/2017/11/15/564335359/in-harm-s-way-school-staff-saved-students-during-tehama-county-shooting; https://twitter.com/anblanx/status/930862796123729920",NA,NA,NA,"2017"
"Texas First Baptist Church massacre","Sutherland Springs","Texas","11/05/2017","Devin Patrick Kelley, a 26-year-old ex-US Air Force airman, opened fire at the First Baptist Church in Sutherland Springs during Sunday morning services, killing at least 26 people and wounding and injuring 20 others. He left the church and fled in his vehicle after engaging in a gunfight with a local citizen; he soon crashed his vehicle and died from a self-inflicted gunshot wound.",26,20,46,"Mass","Religious",29.273282,-98.056488,"26","Yes","Kelley had a history of domestic violence, including a court martial and conviction stemming from assaulting his wife and child; he also had a history of cruelty to animals and of stalking and harassing ex-girlfriends, including an underage girl. He reportedly briefly escaped from a mental health facility in 2012.","Kelley passed federal criminal background checks; the US Air Force failed to provide information on his criminal history to the FBI","Purchased in April 2016 from an Academy Sports & Outdoors store in San Antonio","semiautomatic rifle","Ruger AR-556; Kelley also possessed semiautomatic handguns","White","M","https://www.washingtonpost.com/news/morning-mix/wp/2017/11/06/who-is-devin-patrick-kelley-gunman-who-officials-say-killed-churchgoers-in-sutherland-springs/; https://www.washingtonpost.com/news/post-nation/wp/2017/11/06/investigators-hunt-for-motive-in-texas-church-shooting-as-the-grieving-spans-generations/; https://www.washingtonpost.com/news/morning-mix/wp/2017/11/06/an-unlikely-hero-describes-gun-battle-and-95-mph-chase-with-texas-shooting-suspect/; http://www.cnn.com/2017/11/06/us/texas-church-shooting/index.html; https://www.usnews.com/news/top-news/articles/2017-11-06/church-shooter-killed-himself-after-vehicle-chase-sheriff-tells-cbs","http://www.expressnews.com/news/local/article/Suspected-gunman-Devin-Patrick-Kelley-lived-near-12334186.php; http://www.denverpost.com/2017/11/06/texas-shooting-devin-patrick-kelley-colorado-arrest/; https://www.nbcnews.com/storyline/texas-church-shooting/who-devin-kelley-alleged-texas-church-shooter-n817806; https://www.click2houston.com/news/sutherland-springs-church-shooter-escaped-mental-health-facility-months-after-attack-on-wife-child","https://www.washingtonpost.com/news/morning-mix/wp/2017/11/06/who-is-devin-patrick-kelley-gunman-who-officials-say-killed-churchgoers-in-sutherland-springs/; https://www.washingtonpost.com/news/post-nation/wp/2017/11/06/investigators-hunt-for-motive-in-texas-church-shooting-as-the-grieving-spans-generations/; https://www.washingtonpost.com/news/morning-mix/wp/2017/11/06/an-unlikely-hero-describes-gun-battle-and-95-mph-chase-with-texas-shooting-suspect/; http://www.cnn.com/2017/11/06/us/texas-church-shooting/index.html; https://www.usnews.com/news/top-news/articles/2017-11-06/church-shooter-killed-himself-after-vehicle-chase-sheriff-tells-cbs",NA,NA,NA,"2017"
"Edgewood businees park shooting","Edgewood","Maryland","10/18/2017","Radee Labeeb Prince, 37, fatally shot three people and wounded two others around 9am at Advance Granite Solutions, a home remodeling business where he worked near Baltimore. Hours later he shot and wounded a sixth person at a car dealership in Wilmington, Delaware. He was apprehended that evening following a manhunt by authorities.",3,3,6,"Mass","Workplace",39.452189,-76.309988,"37","Unclear","-","No","Unclear","handgun",".380-caliber; make unclear","Black","M","http://www.baltimoresun.com/news/maryland/harford/aegis/ph-ag-edgewood-shooting-20171018-story.html; http://www.cnn.com/2017/10/18/us/maryland-harford-county-shooting/index.html","-","http://www.baltimoresun.com/news/maryland/harford/aegis/ph-ag-edgewood-shooting-20171018-story.html; http://www.cnn.com/2017/10/18/us/maryland-harford-county-shooting/index.html",NA,NA,NA,"2017"
